Department,DepartmentCleaned
Engineering Science and Mechanics/Eng,engineering science and mechanics/eng
Fi,fi
Wood Construction,wood construction
INDUSTRIAL AND LABOR RELATIONS,industrial and labor relations
HR and Ed,hr and ed
NG (Engineering Science and Mechanics),ng (engineering science and mechanics)
GINEERING AND ENGINEERING MANAGEMENT,gineering and engineering management
Engineering (EE),engineering (ee)
SocWk,socwk
Religion H,religion h
HISTOR,histor
Area and International Studies,area and international studies
Fisheries and Wildlife; Forestry,fisheries and wildlife; forestry
Group Studies in Industrial Design,group studies in industrial design
Counselling and Educational Development,counselling and educational development
Land Architecture,land architecture
Civil and Mechanical Engineering,civil and mechanical engineering
Psychological Services in Education,psychological services in education
Engineering (MinE),engineering (mine)
Criminal Justice Studies,criminal justice studies
th,th
Forestry (F.W.),forestry (f.w.)
Engl/FL,engl/fl
Physics (Physics and Astronomy),physics (physics and astronomy)
STATISTICAL SCIENCE,statistical science
P sychology,p sychology
MetE,mete
CHOWBIOS,chowbios
Comparative Literatures,comparative literatures
Ed Theory & Practice,ed theory & practice
AKNS,akns
CRAFT,craft
lers,lers
"Agricultural, Environmental, and Dev E","agricultural, environmental, and dev e"
Drafting & Design,drafting & design
ERING (Nuclear Science and Engineering),ering (nuclear science and engineering)
Vocational Technical,vocational technical
LIAN,lian
HEALTH EDUCATION - EDHE,health education - edhe
SPECIAL EDUCATION-EDSP,special education-edsp
Audio-Visual Aids,audio-visual aids
Physiological Optics/Physiology,physiological optics/physiology
FRENCH LANGUAGE,french language
INDU,indu
UPPER DIVISION,upper division
140 Outdoor Pursuits Program,140 outdoor pursuits program
"Fin., Ins., and Bus. Law","fin., ins., and bus. law"
E OF LETTERS AND SCIENCE,e letters and science
CISPANISH AND PORTUGUESE,cispanish and portuguese
DEPT. OF MILITARY SCIENCE AND TACTICS,dept. military science and tactics
DEPT. OF PHYSICAL EDUCATION AND STUDENT HEALTH,dept. physical education and student health
HOME E,home e
Und/Grad Group Studies,und/grad group studies
"Industrial, Interior and Visual Commu","industrial, interior and visual commu"
EMBA—Executive Master of Business Administration,emba—executive master business administration
Geophysics and Planetary Physics,geophysics and planetary physics
Psychiatry and Behavioral Sciences,psychiatry and behavioral sciences
Spanish and Italian,spanish and italian
Anthropology and Sociology,anthropology and sociology
PSYCHIATRY AND BIOBEHAVIORAL SCIENCES,psychiatry and biobehavioral sciences
Yr.,yr.
Medical History Division,medical history division
Psychiatry and Biobehavioral Sciences,psychiatry and biobehavioral sciences
Armenian Studies,armenian studies
ENGINEERING AND APPLIED SCIENCE,engineering and applied science
Radiological Sciences,radiological sciences
THEATER ARTS,theater
Indigenous Languages of the Americas,indigenous languages the americas
EARTH AND SPACE SCIENCES,earth and space sciences
Ethnic Arts,ethnic arts
Turkic,turkic
Cell Biology and Virology,cell biology and virology
ANESTHESIOLOGY,anesthesiology
Classical Armenian,classical armenian
MOTION PICTURE/TELEVISION AREAS,motion picture/television areas
Dutch-Flemish and Afrikaans,dutch-flemish and afrikaans
Electrical Sciences and Engineering,electrical sciences and engineering
Bibliographers,bibliographers
R EASTERN LANGUAGES AND CULTURES,r eastern languages and cultures
NEAR EASTERN LANGUAGES AND CULT,near eastern languages and cult
Classical Latin,classical latin
Graduate Linguistic,graduate linguistic
"Chemical, Nuclear and Thermal Engineering","chemical, nuclear and thermal engineering"
World Arts and Cultures,world arts and cultures
Physiological Science,physiological science
Biomedical Physics,biomedical physics
WAC,wac
"Film, Television, and Digital Media","film, television, and digital media"
Theater/Film and Television,theater/film and television
Design | Media Arts,design | media arts
Program in Computing,program in computing
Molecular,molecular
Study of Religion,study religion
Dance Studies,dance studies
IES,ies
Management Studies,management studies
Indo-European Studies,indo-european studies
Motion Picture/Television,motion picture/television
BUSINESS-ECONOMIC EDUCATION,business-economic education
NEAR EASTERN LANGUAGES AND CULTURES,near eastern languages and cultures
TESL,tesl
Hum/Compar Lit,hum/compar lit
LEARNING AND INSTRUCTION,learning and instruction
Literature and Civilization,literature and civilization
Honors Collegium,honors collegium
"Interdepartmental Program, College of Letters and Science","interdepartmental program, college letters and science"
Graduate Linguistic Courses,graduate linguistic courses
Applied Linguistics and Teaching,applied linguistics and teaching
NG AND APPLIED SCIENCE / Schoolwide,ng and applied science / schoolwide
S AND SCIENCE,s and science
F ENGINEERING AND APPLIED SCIENC,f engineering and applied scienc
Materials Science and Engineerin,materials science and engineerin
Niatry and Biobehavioral Sciences,niatry and biobehavioral sciences
RS AND SCIENCE,rs and science
Old Norse Studies,old norse studies
ERING AND APPLIED SCIENCE,ering and applied science
TTERS AND SCIENCE / Classics,tters and science / classics
SCHC,schc
Economics and Science,economics and science
Health Service Organization and Management,health service organization and management
Chemistry/Materials Science,chemistry/materials science
College of Letters A,college letters a
ATION,ation
COLLEGE OF LETTE,college lette
ETTERS AND SCIENCE / French,etters and science / french
COLLEGE OF LETTERS AND SCIEN,college letters and scien
COLLEGE OF LETTERS AND SCI,college letters and sci
COLLEC,collec
Loology,loology
Letter,letter
CIENCE,cience
College of letters and Science,college letters and science
AND SCIENCE,and science
Psychiatry and Biobehavioral Scie,psychiatry and biobehavioral scie
TERS AND SCIENCE,ters and science
DICINE,dicine
SCHOOL OF NURSING,school nursing
TTERS AND SCIENCE,tters and science
Graduate School of Library,graduate school library
COLLEGE OF LETTERS AND SC,college letters and sc
GRADL,gradl
Hiatry and Biobehavioral Sciences,hiatry and biobehavioral sciences
E of Letters and Science,e letters and science
M276D,m276d
GINEERING AND APPLIED SCIENCE / M,gineering and applied science / m
Economics/System Science,economics/system science
COLLEGE OF LETT,college lett
Mechanics and Structures,mechanics and structures
Early Childhood Development,early childhood development
Non-Slavic Languages of Eastern Europe,non-slavic languages eastern europe
FOLKLORE AND MYTHOLOGY,folklore and mythology
HIATRY AND BIOBEHAVIORAL SCIENCES,hiatry and biobehavioral sciences
M.A. Theater Arts,m.a. theater arts
SCHOOL OF SOCIAL WELFARE,school social welfare
"Mechanical, Aerospace, and Nuclear Engineering","mechanical, aerospace, and nuclear engineering"
Group II: Human Geography,group ii: human geography
ED SCIENCE,ed science
ERS,ers
Spanish and Portuguese / COLLE,spanish and portuguese / colle
Letters A,letters a
Y AND INFORMATION SCIENCE,y and information science
Near Eastern Languages and Cul,near eastern languages and cul
GRADUATE SCHOOL OF LIBR,graduate school libr
Urban Land Economics,urban land economics
TTERS,tters
UATE SCHOOL OF EDUCATION,uate school education
Fine Arts / Film and Television,fine arts / film and television
Architecture and Urban,architecture and urban
Applied Environmental Studies,applied environmental studies
Letters and Science / History,letters and science / history
COLLEGE OF LETTER,college letter
AEDICINE / Radiological Sciences,aedicine / radiological sciences
M225,m225
GRADUATE SCHOOL OF LIBRARY,graduate school library
Integrative Biology and Physiology,integrative biology and physiology
Applied Economics (MAE),applied economics (mae)
"Slavic, East European, and Eurasia","slavic, east european, and eurasia"
"Earth, Planetary, and Space Sciences","earth, planetary, and space sciences"
College Honors,college honors
"Molecular, Cell, and Developmental Biology","molecular, cell, and developmental biology"
Labor and Workplace Studies,labor and workplace studies
Computational and Systems Biology,computational and systems biology
Subtropical Horticulture,subtropical horticulture
Global Jazz Studies,global jazz studies
"Microbiology, Immunology, and Molecular Genetics","microbiology, immunology, and molecular genetics"
Near Eastern Languages and Cult,near eastern languages and cult
Eurasian Languages and Cultures,eurasian languages and cultures
Anical and Aerospace Engineering,anical and aerospace engineering
Near,near
Zoölogy,zoölogy
Music Industry,music industry
World Arts and Cultures/Dance,world arts and cultures/dance
MolBio,molbio
"Slavic, East European, and I","slavic, east european, and i"
Francophone,francophone
"Logic, Semantics, and Philosophy of Science","logic, semantics, and philosophy science"
"Slavic, East European & Eurasian Languages and Cultures","slavic, east european & eurasian languages and cultures"
Civic Engagement,civic engagement
Mathematics/Economics,mathematics/economics
Society and Genetics,society and genetics
Eart,eart
Upper Atmosphere and Space Physics,upper atmosphere and space physics
"Theater, Film, Video, and Digital Media","theater, film, video, and digital media"
East Asian Languages and Cultural Studies,east asian languages and cultural studies
"Algebra, Number Theory, and Logic","algebra, number theory, and logic"
"Earth, Planetary, and Space Science","earth, planetary, and space science"
Writing and Production,writing and production
IB and P,ib and p
Social Thought,social thought
Film and Entertainment Industry,film and entertainment industry
USIE,usie
UCLA,ucla
East Asian Linguistics,east asian linguistics
Ea,ea
Hispanic Literatures,hispanic literatures
Armenian Language and Literature,armenian language and literature
Atmospheric Environment,atmospheric environment
World Arts Practices,world arts practices
Microbiology and Molecular Gene,microbiology and molecular gene
Applied Linguistics and Teaching English as a Second Language,applied linguistics and teaching english as a second language
Ethics and Value Theory,ethics and value theory
Paleoanthropology,paleoanthropology
Latin/American Studies,latin/american studies
244 / Earth and Space Sciences,244 / earth and space sciences
Field II: International Relations,field ii: international relations
Mechanical and Aerospace Engir,mechanical and aerospace engir
Yiddish (English),yiddish (english)
"Hi, Biobehavioral Sciences","hi, biobehavioral sciences"
Exec,exec
"Organismic Biology, Ecology, and Evolution","organismic biology, ecology, and evolution"
Pub Hlth,pub hlth
MURP,murp
History/Art History,history/art history
BOTANICAL SCIENCES,botanical sciences
LIBRARY SERVICE,library service
MOTION PICTURE AND TELEVISION-RADIO AREAS,motion picture and television-radio areas
FOLKLORE AND MYTHOLOGY GROUP,folklore and mythology group
Public Administration and Local Government,public administration and local government
ARMENIAN,armenian
Health Facilities,health facilities
Ed.Leadership,ed.leadership
Theoretical/Anthropological Studies,theoretical/anthropological studies
M111,m111
Mecha,mecha
Aerospace and Mechanical Engineering,aerospace and mechanical engineering
Cellular and Molecular Medicine,cellular and molecular medicine
Medical Lab & Radiation Sci,medical lab & radiation sci
Vermont Studies,vermont studies
EDML,edml
GKLT,gklt
Professional Nursing,professional nursing
WLIT,wlit
D2:Culture of Disability,d2:culture disability
Romance Languages and Linguistics,romance languages and linguistics
ALANA,alana
MAED,maed
Women's & Gender Studies,women's & gender studies
ASCi,asci
ALAN,alan
CEMS,cems
ARBC,arbc
PRNU,prnu
"ENGINEERING, DIVISION OF GRAPHICS","engineering, graphics"
Commerce and Economics,commerce and economics
"Banking, Finance, and Insurance","banking, finance, and insurance"
E.G.,e.g.
COMMERCE AND ECONOMICS,commerce and economics
ANIMAL AND DAIRY SCIENCE,animal and dairy science
ANIMAL PATHOLOGY,animal pathology
Related Art,related art
FORESTRY (FOR),forestry (for)
ROMANCE,romance
"ENGINEERING, AGRICULTURAL","engineering, agricultural"
Animal Pathology,animal pathology
Animal and Dairy Science,animal and dairy science
Germanic Languages-Scandinavian Languages,germanic languages-scandinavian languages
Classics-Latin,classics-latin
Naval Science and Tactics,naval science and tactics
AGRC,agrc
ANNB,annb
VOTC,votc
AGRICULTURAL AND RESOURCE ECONOMICS,agricultural and resource economics
PHYSIOLOGY AND BIOPHYSICS,physiology and biophysics
Communication and Theatre,communication and theatre
COMMUNICATION AND THEATRE,communication and theatre
SCHOOL OF NATURAL RESOURCES,school natural resources
EDSS — Education — General,edss — education — general
MICROBIOLOGY AND MOLECULAR GENETICS,microbiology and molecular genetics
Speech and Hearing Sciences (CS&D),speech and hearing sciences (cs&d)
RUSSIAN AND SERBO-CROATIAN,russian and serbo-croatian
Housing and Residential Environment,housing and residential environment
CS&D,cs&d
Animal and Food Sciences,animal and food sciences
College of Education and Social Services,college education and social services
RECREATION MANAGEMENT,recreation management
MCSD,mcsd
ASTU,astu
Physical Education - EdPE,physical education - edpe
Occupational and Extension Education,occupational and extension education
SOSE,sose
EDOH,edoh
PLANT BIOLOGY (PBIO),plant biology (pbio)
SPANISH LITERATURE AND CIVILIZATION,spanish literature and civilization
Agricultural Biochemistry,agricultural biochemistry
"Horticulture, Agronomy, and Soil Science","horticulture, agronomy, and soil science"
Music Education - MUS,music education - mus
GLIT,glit
RSEC,rsec
HUMAN RESOURCE MANAGEMENT,human resource management
Applied Economics (CDAE),applied economics (cdae)
COUNSELING-EDCO,counseling-edco
EchD,echd
Pharmacology (PHRM),pharmacology (phrm)
NRS,nrs
FAMILY&CONSUMER SCIENCES,family&consumer sciences
Community Development and Applied Economics,community development and applied economics
ANIMAL AND FOOD SCIENCES,animal and food sciences
FOUNDATIONS - EDFS,foundations - edfs
Zoology (Zool),zoology (zool)
HD&FS,hd&fs
Org Studies,org studies
Mechanical and Aerospace Engin,mechanical and aerospace engin
Near Eastern Languages and Cu,near eastern languages and cu
Human Complex Systems,human complex systems
Design I Media Arts,design i media arts
Globe,globe
M259,m259
Institute of the Environment,institute the environment
Molecular and Medical Pharmacology,molecular and medical pharmacology
Executive M.B.A. Program,executive m.b.a. program
MPP,mpp
South East Asian,south east asian
Office Occupations,office occupations
MCIP,mcip
Biobehavioral Sciences,biobehavioral sciences
Chemic,chemic
Geophysics and Space Physics,geophysics and space physics
Dentistry (Oral Biology),dentistry (oral biology)
Biofeedback and Psychophysiology,biofeedback and psychophysiology
NDO-EUROPEAN STUDIES (INTERDEPARTMENTAL),ndo-european studies (interdepartmental)
"PLANNING, LAW AND POLITICS","planning, law and politics"
Ed. Psych,ed. psych
Scandinavian Section,scandinavian section
Health Information and Management Systems,health information and management systems
Learning and Instruction,learning and instruction
SAUP,saup
Life Sciences Group,life sciences group
Bacteriology and Molecular Biology Institute,bacteriology and molecular biology institute
Administrative Studies in Education,administrative studies in education
Socio-Physical Research and Design,socio-physical research and design
Hosp Admn,hosp admn
D&O,d&o
Mathematical Sociology,mathematical sociology
Information Access,information access
Cluster,cluster
AOS,aos
CBA,cba
Health Sci,health sci
Environment (Graduate Courses),environment (graduate courses)
World Arts and Cultures Department,world arts and cultures department
Orthopaedic Surgery,orthopaedic surgery
Enviror,enviror
Info. Access,info. access
Behavioral and Organizational Sciences,behavioral and organizational sciences
Spanish and Portuguese / 559,spanish and portuguese / 559
Women's Studies / 585,women's studies / 585
COLLEGE OF LETTERS,college letters
Film/Television,film/television
hiatry and Biobehavioral Sciences,hiatry and biobehavioral sciences
"Art, Design, and Art History / COI","art, design, and art history / coi"
"RTS / Theater, Film, and Television","rts / theater, film, and television"
ERS AND SCIENCE,ers and science
Letters and Sc,letters and sc
LET,let
"Art, Design, and Art History","art, design, and art history"
Lett,lett
ARCHITECTURE AND URBAN PLANN,architecture and urban plann
"Theater, Film, and Television / CO","theater, film, and television / co"
"TS / Theater, Film, and Television","ts / theater, film, and television"
NCE,nce
Psychiatry and Biobehavioral Science,psychiatry and biobehavioral science
Hiatory and Biobehavioral Sciences,hiatory and biobehavioral sciences
Upper Atmospheric and Space Physics,upper atmospheric and space physics
EDICINE,edicine
F ENGINEERING AND APPLIED SCIENCI,f engineering and applied scienci
Lecture - Portuguese,lecture - portuguese
COLLEGE OF LETTERS AND S,college letters and s
LLEGE OF FINE ARTS,llege fine arts
COLLEGE OF LETTI,college letti
ARY AND INFORMATION SCIENCE,ary and information science
"Applied Science / Mechanical, Aer","applied science / mechanical, aer"
School of Architecture and Urban,school architecture and urban
Afro-Am,afro-am
Field IV: Comparative Politics,field iv: comparative politics
Theater Art,theater art
Indic,indic
Human Systems Studies,human systems studies
Computational Medicine,computational medicine
Lore and Mythology,lore and mythology
Aero. and Aerospace Eng.,aero. and aerospace eng.
Planetary and Space Science,planetary and space science
M.F.A. Film and Television,m.f.a. film and television
Speech; Subject A,speech; subject a
IEI,iei
Educa-,educa-
Applied Linguistics and TESL,applied linguistics and tesl
Itures,itures
Astrophysics and Physics,astrophysics and physics
292 / Education,292 / education
Ethnomusicology / Music / Music History,ethnomusicology / music / music history
Archi,archi
Comm Studies,comm studies
Learning and Behavior,learning and behavior
Spanish and Portuguese / 583,spanish and portuguese / 583
Info Studies,info studies
Social Analysis,social analysis
Neuropsychopharmacology,neuropsychopharmacology
Film and Television Production,film and television production
Majors,majors
Collegium,collegium
AeroSpace Engineering,aerospace engineering
E.M.B.A.,e.m.b.a.
Asian Lang and Cultures,asian lang and cultures
"Molecular, C","molecular, c"
Ir,ir
"Earth, Planetary and Space Sciences","earth, planetary and space sciences"
Theater and Design,theater and design
Biochemical Chemistry,biochemical chemistry
Design|Media Arts,design|media arts
E&E Biology,e&e biology
Soc Wrk,soc wrk
Graduate Economics,graduate economics
Physics and Biology in Medicine,physics and biology in medicine
Vietnamese Studies,vietnamese studies
"Decisions, Operations, and Technology Management","decisions, operations, and technology management"
"Film, Television and Digital Media","film, television and digital media"
Health Promotion and Communication,health promotion and communication
Cellular and Neurobiological Sciences,cellular and neurobiological sciences
"Religion, Study of","religion, study of"
Health Information Systems,health information systems
Mechanical and Aerospace Engine,mechanical and aerospace engine
Applied Human Development,applied human development
M238,m238
Ed Studies,ed studies
Arts of Native North America,arts native north america
Psychobiology,psychobiology
Near Eastern Languages and Cultu,near eastern languages and cultu
"Slavic, East European, and Eurasian Languages and Cultures","slavic, east european, and eurasian languages and cultures"
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies","lesbian, gay, bisexual, transgender, and queer studies"
LGBTS,lgbts
House Furnishing,house furnishing
Craft Courses,craft courses
Political Economy of Structural Adjustment,political economy structural adjustment
Operations and Technology Management,operations and technology management
Near E,near e
HMU,hmu
Indic (East Asian Languages),indic (east asian languages)
AeroAstro,aeroastro
Foreign Literature in Translation,foreign literature in translation
Family and Preventive Medicine,family and preventive medicine
History of Portuguese and Spanish,history portuguese and spanish
Anatomy and Laboratory Medicine,anatomy and laboratory medicine
Health Service,health service
COLLEGE OF LE,college le
F LETTERS AND SCIENCE,f letters and science
UATE,uate
Schoolwide Programs,schoolwide programs
African Area Studies,african area studies
"ITS / Theater, Film, and Television","its / theater, film, and television"
"Microbiology, Immunology and Molecular Genetics","microbiology, immunology and molecular genetics"
Department not provided,not provided
Info Sci,info sci
SEMTICS,semtics
"Earth, Planetary, and Space Scien","earth, planetary, and space scien"
"Planetary, and Space Sciences","planetary, and space sciences"
Chicano and Chicano Studies,chicano and chicano studies
Sociał Welfare,sociał welfare
Lib Sci,lib sci
"Mechanical, Aer","mechanical, aer"
"Mechanical, Aero","mechanical, aero"
Paychology,paychology
Ar Eastern Languages and Cultures,ar eastern languages and cultures
Aerospace Engineering / Mechanical Engineering,aerospace engineering / mechanical engineering
INESE (CHIN),inese (chin)
"ENGINERING, AGRICULTURAL","enginering, agricultural"
WORLD PROBLEMS,world problems
FAMILY LIVING-HUMAN DEVELOPMENT,family living-human development
FOOD AND NUTRITION,food and nutrition
Commerce and Bconomics,commerce and bconomics
BLECTRICAL,blectrical
ALANA U.S. ETHNIC STUDIES,alana u.s. ethnic studies
CHEMISTRY (BIOC),chemistry (bioc)
HLETIC TRAINING (AT),hletic training (at)
MEN'S & GENDER STUDIES (WGST),men's & gender studies (wgst)
CLBI,clbi
CMSI,cmsi
COMU,comu
EXSC,exsc
College of Agriculture and Home Economics,college agriculture and home economics
"ENGINERING, CIVIL","enginering, civil"
BMT,bmt
GRNU,grnu
Envtl Eng,envtl eng
Hydro Eng,hydro eng
"MERCHANDISING, CONSUMER STUDIES, AND DESIGN","merchandising, consumer studies, and design"
ECHD,echd
VOCATIONAL TECHNOLOGY,vocational technology
Speech and Hearing Science (CS&D),speech and hearing science (cs&d)
ENCH (FREN),ench (fren)
NORS,nors
Latin Amer,latin amer
GRMD,grmd
ECLD,ecld
CRES,cres
HSOC,hsoc
Resort Management and Marketing,resort management and marketing
B&AD,b&ad
Animal Sciences (ASCI),animal sciences (asci)
"Merchandising, Consumer Studies, and Design","merchandising, consumer studies, and design"
SPANISH LANGUAGE,spanish language
Plant and Soil Science (PSS),plant and soil science (pss)
Nuclear Medicine Technology Majors,nuclear medicine technology majors
EARLY CHILDHOOD AND HUMAN DEVELOPMENT,early childhood and human development
LIBRARY SCIENCE — EDLI,library science — edli
Sociology (SOC),sociology (soc)
SPECIAL EDUCATION-RESPONSIVE TEACHER PROGRAM - EDRT,special education-responsive teacher program - edrt
SPECIAL EDUCATION — EDSP,special education — edsp
HISTORIC PRESERVATION,historic preservation
MCBI,mcbi
Family&Consumer Sciences,family&consumer sciences
EDEL-ELEMENTARY EDUCATION,edel-elementary education
NOMICS,nomics
MICROBIOLOGY AND BIOCHEMISTRY,microbiology and biochemistry
Commerce & Economics,commerce & economics
EDCO-Counseling,edco-counseling
EDSP - SPECIAL EDUCATION,edsp - special education
Speech & Hearing Sciences,speech & hearing sciences
EDFS-FOUNDATIONS,edfs-foundations
EDAP,edap
"Organizational, Counseling, and Foundational Studies","organizational, counseling, and foundational studies"
COMMERCE & ECONOMICS,commerce & economics
dairy,dairy
College of Technology,college technology
"Housing, Institutional Management","housing, institutional management"
The College of Agriculture,the college agriculture
"Business Education, Industrial Education","business education, industrial education"
School of Education and Nursing,school education and nursing
Junior High School Education,junior high school education
The College of Technology,the college technology
Industrial and Personnel Management,industrial and personnel management
Animal & Dairy Husbandry,animal & dairy husbandry
COMMUNICATION SCIENCE AND DISOL,communication science and disol
Microbiology and Molecular Genetics (MMG),microbiology and molecular genetics (mmg)
Genre or Specific Area Courses,genre or specific area courses
Recreation Management | RM,recreation management | rm
SEVERELY HANDICAPPED INDIVIDUALS-EDSH,severely handicapped individuals-edsh
SECONDARY EDUCATION - EDSC,secondary education - edsc
ENGUSH,engush
DUATE CREDIT,duate credit
Health and Nursing,health and nursing
"Parks, Recreation, and Tourism","parks, recreation, and tourism"
Greek & Latin,greek & latin
D1,d1
Phys Educ,phys educ
Sociology SOC,sociology soc
Anatomy & Neurobiology,anatomy & neurobiology
"Botany, Forestry, Horticulture","botany, forestry, horticulture"
FARMS,farms
"Civil, Electrical, Mechanical Engineering","civil, electrical, mechanical engineering"
"BANKING, FINANCE, AND INSURANCE","banking, finance, and insurance"
Sec. Education,sec. education
"Political Science, Psychology","political science, psychology"
The School of Education and Nursing,the school education and nursing
MARKETING AND MERCHANDISING,marketing and merchandising
Mathematics and Mechanics,mathematics and mechanics
Litr,litr
"Women, Science & Nature","women, science & nature"
GRNS,grns
LIBRARY SCIENCE (EDLI),library science (edli)
GREEK (GRK),greek (grk)
HIGHER EDUCATION (EDHI),higher education (edhi)
HFRS,hfrs
RES,res
DIVISION OF HEALTH SCIENCES,health sciences
READING,reading
Botany and Forestry,botany and forestry
BIOSTATISTICS (BIOS),biostatistics (bios)
CIVIL & ENVIRONMENTAL ENGR (CE),civil & environmental engr (ce)
FAMILY LIVING,family living
The College of Arts and Sciences,the college arts and sciences
Physics and Biophysics,physics and biophysics
DHYG,dhyg
Library Science - EDLI,library science - edli
H.P.E.R.,h.p.e.r.
EDSS - GENERAL EDUCATION,edss - general education
EDLI — LIBRARY SCIENCE,edli — library science
AREA AND INTERNATIONAL STUDIES,area and international studies
EDSC -SECONDARY EDUCATION,edsc -secondary education
ECHD - EARLY CHILDHOOD AND HUMAN DEVELOPMENT,echd - early childhood and human development
RECREATION ADMINISTRATION,recreation administration
EDPE - PHYSICAL EDUCATION,edpe - physical education
"PHYSICAL THERAPY, PHYSICS","physical therapy, physics"
MUSIC EDUCATION - EDMU,music education - edmu
SOSE - SOCIAL WORK AND SOCIAL SERVICES,sose - social work and social services
FINANCING AND BANKING,financing and banking
RADIOGRAPHY,radiography
TMCS,tmcs
Zooogy,zooogy
COLLEGE OF MEDICINE,college medicine
MARKETING MANAGEMENT AND SALES PROMOTION,marketing management and sales promotion
AGRICULTURAL TECHNOLOGY AND INDUSTRIAL EDUCATION,agricultural technology and industrial education
HEMISTRY,hemistry
"Social Work, Sociology","social work, sociology"
"TEXTILES, MERCHANDISING, AND CONSUMER STUDIES","textiles, merchandising, and consumer studies"
Environmental Facilities Design,environmental facilities design
Russian and East European,russian and east european
Horticulture/Agronomy/Soils/Entomology,horticulture/agronomy/soils/entomology
ALANA Studies,alana studies
Garden,garden
COMMUNICATION ENGINEERING,communication engineering
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,molecular physiology and biophysics
Wildlife and Fisheries Biology (WFB),wildlife and fisheries biology (wfb)
I Sociology,i sociology
"Horticulture, Agronomy, Soils, or Plant Environment","horticulture, agronomy, soils, or plant environment"
RM - Recreation Management,rm - recreation management
MIDDLE EAST STUDIES; MILITARY STUDIES,middle east studies; military studies
HOUSING,housing
"Vocational, Technical and Extension Education","vocational, technical and extension education"
READINGS AND RESEARCH,readings and research
Family Living-Human Development,family living-human development
Early Childhood and Human Development,early childhood and human development
"VOCATIONAL, TECHNICAL AND EXTENSION EDUCATION","vocational, technical and extension education"
SPEECH (SPCH),speech (spch)
COLLEGE OF AGRICULTURE AND HOME ECONOMICS,college agriculture and home economics
Undergraduate courses,undergraduate courses
MATHEMATICS FOR EDUCATORS (MAED),mathematics for educators (maed)
"COLLEGE OF TECHNOLOGY, ENGINEERING","college technology, engineering"
COLLEGE OF TECHNOLOGY,college technology
EARLY CHILDHOOD PROGRAMS AND SERVICES,early childhood programs and services
"RELIGION, SOCIAL WORK","religion, social work"
ENGLISH HISTORY,english history
WILDLIFE AND FISHERIES BIOLOGY (WFB),wildlife and fisheries biology (wfb)
Statistics | 97,statistics | 97
EDSS-EDUCATION,edss-education
EDCO-COUNSELING,edco-counseling
"IFE AND FISHERIES BIOLOGY, WOMEN'S STUDIES, ZOOLOGY","ife and fisheries biology, women's studies, zoology"
EDHI-HIGHER EDUCATION,edhi-higher education
EDLI-LIBRARY SCIENCE,edli-library science
"Humanities, International studies, materials science","humanities, international studies, materials science"
GRADUATE COLLEGE (GRAD),graduate college (grad)
ANATOMY AND NEUROBIOLOGY,anatomy and neurobiology
EDAP-ADMINISTRATION AND PLANNING,edap-administration and planning
INDUSTRIAL AND PERSONNEL MANAGEMENT,industrial and personnel management
Dental Education,dental education
EDFS - FOUNDATIONS,edfs - foundations
EDLI -- LIBRARY SCIENCE,edli -- library science
HN,hn
CIVIL ENGR,civil engr
MUSIC EDUCATION - MUS,music education - mus
ELEMENTARY EDUCATION - EDEL,elementary education - edel
Radiologic Technology (RT),radiologic technology (rt)
IMICS,imics
LATIN (LAT),latin (lat)
I. Teachers and the Teaching Process,i. teachers and the teaching process
FOOD SYSTEMS (FS),food systems (fs)
EDFS -FOUNDATIONS,edfs -foundations
EDSC - SECONDARY EDUCATION,edsc - secondary education
WORLD LITERATURE,world literature
Comm Sci & Disorders,comm sci & disorders
OPERATIONS ANALYSIS,operations analysis
EDLI - LIBRARY SCIENCE,edli - library science
Plant and Social Science,plant and social science
"Language, Critical Theory, Writing","language, critical theory, writing"
EDUCATION — EDSS,education — edss
Recreation Management (RM),recreation management (rm)
SNR,snr
Bus. Admin.,bus. admin.
HUMAN DEV,human dev
CLASSICS (CLAS),classics (clas)
"Engineering, Environmental","engineering, environmental"
Nursing (PRNU),nursing (prnu)
Biomedical Technologies,biomedical technologies
BOTANY AND AGRICULTURAL BIOCHEMISTRY,botany and agricultural biochemistry
Molecular Physiology and Biophysics,molecular physiology and biophysics
NUCLEAR MEDICINE TECHNOLOGY (NMT),nuclear medicine technology (nmt)
DENTAL,dental
music,music
RUSSIAN; RUSSIAN AND EAST EUROPEAN STUDIES,russian; russian and east european studies
Natural Resource Management,natural resource management
Ag. Biochem,ag. biochem
Equine Sciences,equine sciences
NUTRITION AND FOOD SCIENCES,nutrition and food sciences
DANCE (DNCE),dance (dnce)
CLINICAL&TRANSLATIONAL SCIENCE,clinical&translational science
EDSC-Education-Secondary,edsc-education-secondary
ANIMAL SCIENCES (ASCI),animal sciences (asci)
HEALTH EDUCATION (EDHE),health education (edhe)
FREN (FREN),fren (fren)
BIOCHEMISTRY (BIOC),biochemistry (bioc)
Russian and Serbo-Croatian,russian and serbo-croatian
Program in Early Childhood and Human Development,program in early childhood and human development
Civil and Electrical Engineering,civil and electrical engineering
"Agricultural Engineering, Agronomy","agricultural engineering, agronomy"
"Education, Family Living","education, family living"
"Speech, Zoology","speech, zoology"
2 TEXTILES AND CLOTHING,2 textiles and clothing
"Agricultural Economics, Agricultural Education","agricultural economics, agricultural education"
